shipName,shipID,tier,is_premium,nation,reloadTime,barrels,guns,RPM
Sicilia,3550426864,10,FALSE,italy,33,4,4,28.8
Yoshino B,3676223184,10,FALSE,japan,18,3,3,28.8
Yoshino,3749623504,10,FALSE,japan,18,3,3,28.8
AL Cheshire,3709777872,8,TRUE,uk,12,2,3,28.8
Dallas,4078876656,6,FALSE,usa,8,2,2,28.4
Amerigo Vespucci,3256825584,10,FALSE,italy,34,4,4,27.2
Karl?XIV Johan,3761190192,9,TRUE,europe,25,3,4,28.8
Kronshtadt,3761157584,9,TRUE,ussr,18,3,3,28.8
Maya,3752769232,7,TRUE,japan,16,2,4,28.8
Cheshire,3762206672,8,TRUE,uk,12,2,3,28.8
Cumberland,3445569488,10,FALSE,uk,35,4,4,27.2
Brandenburg B,3730782000,8,TRUE,germany,26,3,4,27.6
Brandenburg,3751753520,8,TRUE,germany,26,3,4,27.6
Maine,4178524144,11,FALSE,usa,35,4,4,27.2
Stalingrad,3760109008,10,FALSE,ussr,21,3,3,26.1
Devastation,4178524112,11,FALSE,uk,38,4,4,25.6
Cristoforo Colombo,4179572464,10,FALSE,italy,37,4,4,25.6
AL ?gir,3352213296,9,TRUE,germany,20,3,3,27
Scharnhorst B,3668916016,7,TRUE,germany,20,3,3,27
Alaska B,3666786288,9,TRUE,usa,20,3,3,27
Mengchong,3740185808,9,TRUE,pan_asia,20,3,3,27
Alaska,3760109552,9,TRUE,usa,20,3,3,27
AL Azuma,3750672080,9,TRUE,japan,20,3,3,27
Azuma,3760109264,9,TRUE,japan,20,3,3,27
?gir,3750672176,9,TRUE,germany,20,3,3,27
Scharnhorst,3763287856,7,TRUE,germany,20,3,3,27
Rio de?Janeiro,3765384528,5,TRUE,pan_america,31,2,7,26.6
Fus?,4288624336,6,FALSE,japan,28,2,6,25.2
Admiral Schr?der,3740186416,9,TRUE,germany,18,2,4,26.4
Volunteer State,3352246256,8,FALSE,usa,28,3,4,25.2
Campbeltown,3767416784,3,TRUE,uk,7,1,3,25.8
[Grosser Kurf?rst],3340711728,10,FALSE,germany,29,3,4,25.2
Grosser Kurf?rst,4179572528,10,FALSE,germany,29,3,4,25.2
Bourgogne,3760142160,10,FALSE,france,28,4,3,25.2
V-25,4187895600,2,FALSE,germany,4,1,3,45
Longjiang,4187894992,2,FALSE,pan_asia,4,1,3,45
Hy?ga,3752802000,7,TRUE,japan,29,2,6,25.2
Viribus Unitis,3766433072,5,TRUE,europe,29,3,4,25.2
[Montana],3333371888,10,FALSE,usa,30,3,4,24
Montana?2,3330226160,10,FALSE,usa,30,3,4,24
BA Montana,3435083760,10,FALSE,usa,30,3,4,24
Montana,4277090288,10,FALSE,usa,30,3,4,24
Patrie,4178523984,11,FALSE,france,30,4,3,24
Normandie,4183766864,6,FALSE,france,30,4,3,24
Exeter,3765352400,5,TRUE,uk,15,2,3,24
Genova,3765352176,5,TRUE,italy,20,2,4,24
Hildebrand,3550394160,10,FALSE,germany,15,3,2,24
K-1,4179015120,10,FALSE,ussr,5,1,2,24
K?nig,4184815408,5,FALSE,germany,26,2,5,23
Alsace,4180621136,9,FALSE,france,32,4,3,22.8
Marseille,4074682192,10,FALSE,france,24,3,3,22.5
Minekaze,4290655952,5,FALSE,japan,10,1,4,22
Archerfish,3549870064,10,FALSE,usa,5,1,2,21.8
F?jin,4277024464,5,TRUE,japan,10,1,4,24
Arkansas Beta,4281284592,4,TRUE,usa,30,2,6,24
Kamikaze R,4267587280,5,TRUE,japan,10,1,4,24
Kamikaze,4268635856,5,TRUE,japan,10,1,4,24
Ishizuchi,4286527184,4,TRUE,japan,25,2,5,24
Bougainville,4188976976,1,FALSE,france,4,1,3,37.5
Comodoro,3256825168,10,FALSE,pan_america,33,2,6,21.6
Agincourt,3765385168,5,TRUE,uk,36,2,7,23.8
Scharnhorst?'43,3543086896,7,TRUE,germany,23,3,3,23.4
Odin,3762239280,8,TRUE,germany,23,3,3,23.4
Libertad,4284429648,10,FALSE,pan_america,33,2,6,21.6
Los Andes,4274992464,9,FALSE,pan_america,33,2,6,21.6
Wujing,3750704336,9,TRUE,pan_asia,32,4,3,22.8
Florida,3752802288,7,TRUE,usa,32,4,3,22.8
Oktyabrskaya Revolutsiya,3765384656,5,TRUE,ussr,32,3,4,22.8
Ipiranga,4276041040,8,FALSE,pan_america,33,2,6,21.6
Phra Ruang,4186846416,3,FALSE,pan_asia,5,1,3,36
Numancia,3762206128,8,TRUE,spain,11,2,2,22
Romulus,4186846512,3,FALSE,europe,5,1,3,36
Medea,4187895760,2,FALSE,uk,5,1,3,36
Derzki,4186846672,3,FALSE,ussr,5,1,3,36
California,3553572848,7,TRUE,usa,32,3,4,21.6
Pommern B,3666818864,9,TRUE,germany,33,3,4,21.6
Pommern,3761190704,9,TRUE,germany,33,3,4,21.6
Storozhevoi,4187895248,2,FALSE,ussr,5,1,3,36
Enseigne Gabolde,4187895632,2,FALSE,france,5,1,3,34.5
Izmail,4183766480,6,FALSE,ussr,33,3,4,21.6
New Mexico,4259264496,6,FALSE,usa,34,3,4,21.6
Monarch,4181669840,8,FALSE,uk,25,3,3,21.6
Utah,3256825840,10,FALSE,usa,36,3,4,20.4
Bungo,4074714832,10,FALSE,japan,30,2,5,20
Iron Duke,4184815568,5,FALSE,uk,30,2,5,20
Bretagne,4184815440,5,FALSE,france,30,2,5,20
Kearsarge?B,3666819056,9,TRUE,usa,36,3,4,20.4
Navarin,3761190352,9,TRUE,ussr,35,4,3,20.4
Kearsarge,3750705136,9,TRUE,usa,36,3,4,20.4
Arizona,3764336624,6,TRUE,usa,35,3,4,20.4
Amagi,4281284304,8,FALSE,japan,30,2,5,20
Imperator Nikolai I,4293866960,4,TRUE,ussr,36,3,4,20.4
New York,4288624624,5,FALSE,usa,30,2,5,20
Michelangelo,3750672112,9,TRUE,italy,24,4,2,20
Atl?ntico,3762238800,8,TRUE,pan_america,30,2,5,20
Kii,3762239184,8,TRUE,japan,30,2,5,20
Prinz Sigismund,3257874224,9,FALSE,germany,24,2,4,20
K?nig Albert,3767482160,3,TRUE,germany,30,2,5,20
Dreadnought,3767482320,3,TRUE,uk,30,2,5,20
Preussen,3969857328,10,FALSE,germany,24,2,4,20
R?publique,4179572560,10,FALSE,france,24,4,2,20
Klas Horn,4185797936,4,FALSE,europe,7,1,3,24
Defence,3445536720,10,FALSE,uk,18,2,3,19.8
Lepanto,4180621040,9,FALSE,italy,37,4,3,19.2
Thunderer,3760142288,10,FALSE,uk,26,2,4,18.4
Derfflinger,4079957808,5,FALSE,germany,26,2,4,18.4
Friedrich der Grosse,4180621104,9,FALSE,germany,26,2,4,18.4
Bismarck,4181669680,8,FALSE,germany,26,2,4,18.4
Vermont,4179572720,10,FALSE,usa,40,3,4,18
Hizen,3750704848,9,TRUE,japan,38,3,4,19.2
Strasbourg,3763287888,7,TRUE,france,25,4,2,19.2
Vanguard,3762239440,8,TRUE,uk,25,2,4,19.2
Minnesota,4180621296,9,FALSE,usa,40,3,4,18
Ashitaka,3763287760,7,TRUE,japan,31,2,5,19
Poltava,3762238928,7,TRUE,ussr,28,3,3,18.9
BA Tirpitz,3437180720,8,TRUE,germany,26,2,4,18.4
Tirpitz B,3667867440,8,TRUE,germany,26,2,4,18.4
Jean Bart B,3666818896,9,TRUE,france,26,4,2,18.4
Dunkerque?B,3669964624,6,TRUE,france,26,4,2,18.4
Jean Bart,3751753552,9,TRUE,france,26,4,2,18.4
Kansas,4181669872,8,FALSE,usa,40,3,4,18
Dunkerque,3764336464,6,TRUE,france,26,4,2,18.4
[Yamato],3332323024,10,FALSE,japan,30,3,3,18
Wisconsin,3529455600,10,FALSE,usa,30,3,3,18
Iowa?2,3331274736,9,FALSE,usa,30,3,3,18
Tirpitz,4292818736,8,TRUE,germany,26,2,4,18.4
Victoria,3540989360,9,TRUE,spain,30,3,3,18
Ignis Purgatio,3374266064,8,TRUE,japan,33,2,5,18
Rodney,3543087056,7,TRUE,uk,30,3,3,18
Ragnarok,3363780304,8,TRUE,japan,33,2,5,18
North Carolina?2,3248437232,8,FALSE,usa,30,3,3,18
ARP Yamato,3560912592,10,FALSE,japan,30,3,3,18
North?Carolina?CLR,3447666672,8,TRUE,usa,30,3,3,18
St.?Vincent,4074715088,10,FALSE,uk,30,3,3,18
Duncan,4075763664,9,FALSE,uk,29,3,3,18
Xuan Wu,3552523472,9,TRUE,pan_asia,30,3,3,18
North Carolina,4282333168,8,FALSE,usa,30,3,3,18
HSF Admiral Graf Spee,3554588464,6,TRUE,germany,20,3,2,18
Texas,3555670000,5,TRUE,usa,34,2,5,18
AL Littorio,3552524016,8,TRUE,italy,30,3,3,18
Schill,3741234992,8,TRUE,germany,20,3,2,18
Massachusetts B,3667867632,8,TRUE,usa,30,3,3,18
Scarlet Thunder,3656333264,9,TRUE,uk,30,3,3,18
Alabama VL,3741267952,8,TRUE,usa,30,3,3,18
Alabama ST,3552524272,8,TRUE,usa,30,3,3,18
Musashi,3761190608,9,TRUE,japan,30,3,3,18
Missouri,3761190896,9,TRUE,usa,30,3,3,18
Massachusetts,3751753712,8,TRUE,usa,30,3,3,18
Nelson,3752802256,7,TRUE,uk,30,3,3,18
Roma,3762239216,8,TRUE,italy,30,3,3,18
Alabama,3762239472,8,TRUE,usa,30,3,3,18
Admiral Graf Spee,3764303664,6,TRUE,germany,20,3,2,18
Iowa,4276041712,9,FALSE,usa,30,3,3,18
Yamato,4276041424,10,FALSE,japan,30,3,3,18
Izumo,4272895696,9,FALSE,japan,30,3,3,18
Ohio,3760142320,10,FALSE,usa,27,2,4,17.6
Schlieffen,4074714928,10,FALSE,germany,27,2,4,17.6
Mackensen,4078909232,6,FALSE,germany,27,2,4,17.6
Yumihari,4076811984,8,FALSE,japan,27,2,4,17.6
Brennus,3550394192,10,FALSE,france,13,2,2,17.6
Z-31,4077795120,7,FALSE,germany,7,1,2,17.2
Hawke,4076812240,8,FALSE,uk,31,3,3,17.1
Daisen,3729733328,9,TRUE,japan,27,2,4,17.6
Rooke,4077860816,7,FALSE,uk,31,3,3,17.1
Hannover,4178523952,11,FALSE,germany,28,2,4,16.8
Nagato,4284430032,7,FALSE,japan,29,2,4,16.8
Isokaze,4291704528,4,FALSE,japan,12,1,3,15
Wakatake,4269684432,3,FALSE,japan,12,1,3,15
Brest,4075730768,9,FALSE,france,28,4,2,16.8
Bajie,3761190096,9,TRUE,pan_asia,32,3,3,17.1
Giuseppe Verdi,3750704880,9,TRUE,italy,31,3,3,17.1
Yukon,3763287408,7,TRUE,commonwealth,31,3,3,17.1
Cherbourg,4076779344,8,FALSE,france,29,4,2,16.8
Slava,3760141776,10,FALSE,ussr,33,3,3,16.2
My?gi,4291770064,4,FALSE,japan,28,2,3,12.6
Iwami,3740219088,9,TRUE,japan,28,2,4,16.8
Iwami B,3708761808,9,TRUE,japan,28,2,4,16.8
Toulon,3763255120,7,TRUE,france,28,4,2,16.8
Gascogne,3762239312,8,TRUE,france,28,4,2,16.8
Prinz Eitel Friedrich,3764336432,6,TRUE,germany,28,2,4,16.8
Admiral Ushakov,4178523600,11,FALSE,ussr,33,3,3,16.2
Zieten,4076812080,8,FALSE,germany,22,2,3,16.2
Kremlin,4179572176,10,FALSE,ussr,33,3,3,16.2
Sovetsky Soyuz,4180620752,9,FALSE,ussr,33,3,3,16.2
AL Sov. Rossiya,3551475152,9,TRUE,ussr,33,3,3,16.2
Flandre,3730782032,8,TRUE,france,33,3,3,16.2
Lenin,3751753168,8,TRUE,ussr,33,3,3,16.2
Vladivostok,4181669328,8,FALSE,ussr,33,3,3,16.2
Sinop,4182717904,7,FALSE,ussr,33,3,3,16.2
Vittorio Veneto,4181669616,8,FALSE,italy,34,3,3,16.2
Furutaka,4289640144,5,FALSE,japan,22,2,3,16.2
Gda?sk,4074648880,10,FALSE,europe,3,1,1,16.2
Colorado?2,3249485808,7,FALSE,usa,30,2,4,16
Eritrea,4188976880,1,FALSE,italy,3,2,2,68.4
H?rcules,4188976464,1,FALSE,pan_america,4,2,2,60
Hermelin,4293834544,1,FALSE,germany,4,2,2,60
Orlan,4188976592,1,FALSE,ussr,4,2,2,56
HSF Hiei,3545183952,5,TRUE,japan,30,2,4,16
Ruggiero di?Lauria,3760142064,10,FALSE,italy,30,2,4,16
Hashidate,4256085712,1,FALSE,japan,4,2,2,50
ARP Haruna,3553572560,5,TRUE,japan,30,2,4,16
West Virginia '44,3742316528,7,TRUE,usa,30,2,4,16
Ise,3743364816,6,TRUE,japan,30,2,4,16
ARP Hiei,3552523984,5,TRUE,japan,30,2,4,16
Constellation,3730782192,8,TRUE,usa,30,2,4,16
ARP Kong?,3555669712,5,TRUE,japan,30,2,4,16
ARP Kirishima,3554621136,5,TRUE,japan,30,2,4,16
Z-39,3762173744,7,TRUE,germany,7,1,2,16
AL Prinz Heinrich,3752802096,7,TRUE,germany,30,2,4,16
Adatara,4075763408,9,FALSE,japan,30,2,4,16
Mutsu,3764336336,6,TRUE,japan,30,2,4,16
Hood,3763288016,7,TRUE,uk,30,2,4,16
W. Virginia '41,3763288048,6,TRUE,usa,30,2,4,16
Chengan,4188976336,1,FALSE,pan_asia,5,2,2,43.6
Turbine,4185798384,4,FALSE,italy,5,2,2,43.6
Curtatone,4187895536,2,FALSE,italy,5,2,2,43.6
Tiger,4079957968,5,FALSE,uk,30,2,4,16
Prinz Rupprecht,4075763504,9,FALSE,germany,30,2,4,16
Nazario Sauro,4186846960,3,FALSE,italy,6,2,2,37.6
Gryf,4188976432,1,FALSE,europe,3,1,2,35.2
Prinz Heinrich,4077860656,7,FALSE,germany,30,2,4,16
Queen Elizabeth,4183766992,6,FALSE,uk,30,2,4,16
Bayern,4183766832,6,FALSE,germany,30,2,4,16
Colorado,4286527472,7,FALSE,usa,30,2,4,16
T?tra,4187895088,2,FALSE,europe,4,1,2,26.6
Warspite,4292818896,6,TRUE,uk,30,2,4,16
[Richelieu],3353294672,8,FALSE,france,30,4,2,16
Richelieu,4181669712,8,FALSE,france,30,4,2,16
Marco Polo,3761190640,9,TRUE,italy,36,3,3,15.3
Visby,4184749360,5,FALSE,europe,7,1,2,16
Pensacola,4183734256,6,FALSE,usa,15,2,2,16
Renown,4078909392,6,FALSE,uk,23,2,3,15.6
Kong?,4287575760,5,FALSE,japan,31,2,4,15.2
Repulse B,3732879312,6,TRUE,uk,25,2,3,14.4
Tsurugi,3719247568,9,TRUE,japan,25,2,3,14.4
Renown '44,3721344976,7,TRUE,uk,25,2,3,14.4
Repulse,3743365072,6,TRUE,uk,25,2,3,14.4
Carnot,3761157968,9,TRUE,france,25,3,2,14.4
Sevastopol,3550393808,10,FALSE,ussr,24,2,3,15
Francesco Caracciolo,4182718192,7,FALSE,italy,33,2,4,14.4
Georgia,3530504176,9,TRUE,usa,26,2,3,13.8
Sun Yat-Sen,3740218576,9,TRUE,pan_asia,26,2,3,13.8
Collingwood,3731830736,7,TRUE,uk,26,2,3,13.8
Siegfried,3761157936,9,TRUE,germany,26,2,3,13.8
Pyotr Velikiy,4184815056,5,FALSE,ussr,33,2,4,14.4
Gneisenau,4182718256,7,FALSE,germany,26,2,3,13.8
Satsuma,4178523856,11,FALSE,japan,35,2,4,13.6
Jutland,4180555728,9,FALSE,uk,4,1,1,13.3
Shikishima,3760142032,10,FALSE,japan,27,2,3,13.2
Louchuan,3729732816,9,TRUE,pan_asia,29,3,2,12.6
Champagne,3741267792,8,TRUE,france,28,3,2,12.6
Incomparable,3655284688,10,FALSE,uk,28,2,3,12.6
Lion,4180621264,9,FALSE,uk,29,3,2,12.6
Xin Zhong Guo?14,3543577808,6,TRUE,pan_asia,5,1,1,12
[Conqueror],3340711888,10,FALSE,uk,30,3,2,12
Louisiana,4074715120,10,FALSE,usa,30,3,2,12
Umikaze,4292753104,2,FALSE,japan,10,1,2,12
Nebraska,4076812272,8,FALSE,usa,30,3,2,12
Almirante?Cervera,4185830832,4,FALSE,spain,13,1,2,9.2
Conqueror,4179572688,10,FALSE,uk,30,3,2,12
Thrasher,4179015632,10,FALSE,uk,5,1,1,12
L-20,4181112272,8,FALSE,ussr,5,1,1,12
Borodino,3741267408,8,TRUE,ussr,31,3,2,11.4
Congress,3741235184,8,TRUE,usa,22,2,2,10.8
B?yskawica,3769513264,7,TRUE,europe,6,1,1,10
S-1,4183209424,6,FALSE,ussr,5,1,1,12
Mutsuki,4184749776,5,FALSE,japan,12,1,2,10
Grom,4077794608,7,FALSE,europe,6,1,1,10
Duchaffault,4278073168,6,FALSE,france,6,1,1,9.5
Aviere,4183701232,6,FALSE,italy,7,1,1,8.5
Conte di Cavour,4184815344,5,FALSE,italy,28,2,2,8.4
Novorossiysk,3753850320,6,TRUE,ussr,30,2,2,8
Giulio Cesare,3765384944,5,TRUE,italy,30,2,2,8
Andrea Doria,4183766768,6,FALSE,italy,30,2,2,8
Shiratsuyu,4077795024,7,FALSE,japan,7,1,1,8
Mikasa,4283381456,2,TRUE,japan,30,2,2,8
Y?dachi,3763222224,7,TRUE,japan,9,1,1,6.7
De Ruyter,4185831184,4,FALSE,netherlands,9,1,1,6.7
Oklahoma,3765385200,5,TRUE,usa,38,2,2,6.4
King George V,4182718416,7,FALSE,uk,25,2,1,4.8
Duke of York,3742316496,7,TRUE,uk,29,2,1,4
Delaware,4075763696,9,FALSE,usa,30,2,1,4
Theseus,3542071248,8,TRUE,uk,,,,
Admiral Orlov,3256858064,10,FALSE,ussr,,,,
Shinano,3550459600,10,FALSE,japan,,,,
[Audacious],3340744656,10,FALSE,uk,,,,
[Midway],3335501808,10,FALSE,usa,,,,
Otto Lilienthal,3256858416,10,FALSE,germany,,,,
Balao?2,3340154864,10,FALSE,usa,,,,
[Hakury?],3333404368,10,FALSE,japan,,,,
AL Hornet,3353327600,8,TRUE,usa,,,,
Colossus,3741300688,8,TRUE,uk,,,,
Saipan B,3667900400,8,TRUE,usa,,,,
Chkalov?B,3667899856,8,TRUE,ussr,,,,
Kaga B,3667900112,8,TRUE,japan,,,,
Max Immelmann,3655317296,10,FALSE,germany,,,,
Graf Zeppelin B,3667900208,8,TRUE,germany,,,,
Hornet,3730814960,8,TRUE,usa,,,,
Saipan,3741300720,8,TRUE,usa,,,,
Ark Royal,3751786448,6,TRUE,uk,,,,
Werner Voss,3760174896,10,FALSE,germany,,,,
Alliance,3761682384,8,TRUE,uk,,,,
Kaga,3751786192,8,TRUE,japan,,,,
U-4501,3759585072,10,FALSE,germany,,,,
Malta,3760175056,10,FALSE,uk,,,,
S-189,3761681872,8,TRUE,ussr,,,,
Graf Zeppelin,3751786288,8,TRUE,germany,,,,
Franklin D. Roosevelt,3760175088,10,FALSE,usa,,,,
Enterprise,3751786480,8,TRUE,usa,,,,
Gato,3759585264,10,FALSE,usa,,,,
Indomitable,3762272208,8,TRUE,uk,,,,
Sanzang,3762271440,8,TRUE,pan_asia,,,,
Chkalov,3762271696,8,TRUE,ussr,,,,
Erich Loewenhardt,3764369200,6,TRUE,germany,,,,
Aquila,3762271984,8,TRUE,italy,,,,
U-2501,4074157872,10,FALSE,germany,,,,
Balao,4074158064,10,FALSE,usa,,,,
B?arn,3764369232,6,TRUE,france,,,,
Sekiryu,4178556624,11,FALSE,japan,,,,
U-69,4078352176,6,FALSE,germany,,,,
Hermes,4081039312,4,FALSE,uk,,,,
Audacious,4074747856,10,FALSE,uk,,,,
Eagle,4178556880,11,FALSE,uk,,,,
U-190,4076255024,8,FALSE,germany,,,,
United States,4178556912,11,FALSE,usa,,,,
Salmon,4076255216,8,FALSE,usa,,,,
Cachalot,4078352368,6,FALSE,usa,,,,
Pobeda,4181702096,8,FALSE,ussr,,,,
Undine,4183209936,6,FALSE,uk,,,,
Admiral Nakhimov,4179604944,10,FALSE,ussr,,,,
Sturdy,4181112784,8,FALSE,uk,,,,
August von Parseval,4181702448,8,FALSE,germany,,,,
Hakury?,4179605200,10,FALSE,japan,,,,
Implacable,4181702608,8,FALSE,uk,,,,
Manfred von Richthofen,4179605296,10,FALSE,germany,,,,
Sh?kaku,4181702352,8,FALSE,japan,,,,
Midway,4179605488,10,FALSE,usa,,,,
Lexington,4181702640,8,FALSE,usa,,,,
Komsomolets,4185896400,4,FALSE,ussr,,,,
Serov,4183799248,6,FALSE,ussr,,,,
H?sh?,4185896656,4,FALSE,japan,,,,
Furious,4183799760,6,FALSE,uk,,,,
Weser,4183799600,6,FALSE,germany,,,,
Rhein,4185896752,4,FALSE,germany,,,,
Ry?j?,4183799504,6,FALSE,japan,,,,
Langley,4185896944,4,FALSE,usa,,,,
Ranger,4183799792,6,FALSE,usa,,,,
Independence,4267685872,6,FALSE,usa,,,,
Yorktown,4265588720,8,FALSE,usa,,,,
Essex,4273977328,10,FALSE,usa,,,,
